word,level,word_url,word_class
a,a1,https://www.oxfordlearnersdictionaries.com/definition/english/a_1,indefinite article
abandon,b2,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,verb
ability,a2,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1,noun
able,a2,https://www.oxfordlearnersdictionaries.com/definition/english/able_1,adjective
abolish,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abolish,verb
abortion,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abortion,noun
about,a1,https://www.oxfordlearnersdictionaries.com/definition/english/about_2,adverb
about,a1,https://www.oxfordlearnersdictionaries.com/definition/english/about_1,preposition
above,a1,https://www.oxfordlearnersdictionaries.com/definition/english/above_2,adverb
above,a1,https://www.oxfordlearnersdictionaries.com/definition/english/above_1,preposition
abroad,a2,https://www.oxfordlearnersdictionaries.com/definition/english/abroad,adverb
absence,c1,https://www.oxfordlearnersdictionaries.com/definition/english/absence,noun
absent,c1,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1,adjective
absolute,b2,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,adjective
absolutely,b1,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,adverb
absorb,b2,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,verb
abstract,b2,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,adjective
absurd,c1,https://www.oxfordlearnersdictionaries.com/definition/english/absurd,adjective
abundance,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abundance,noun
abuse,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1,noun
abuse,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2,verb
academic,b1,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,adjective
academic,b2,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2,noun
academy,c1,https://www.oxfordlearnersdictionaries.com/definition/english/academy,noun
accelerate,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate,verb
accent,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1,noun
accept,a2,https://www.oxfordlearnersdictionaries.com/definition/english/accept,verb
acceptable,b2,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,adjective
acceptance,c1,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance,noun
access,b1,https://www.oxfordlearnersdictionaries.com/definition/english/access_1,noun
access,b1,https://www.oxfordlearnersdictionaries.com/definition/english/access_2,verb
accessible,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accessible,adjective
accident,a2,https://www.oxfordlearnersdictionaries.com/definition/english/accident,noun
accidentally,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,adverb
accommodate,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,verb
accommodation,b1,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,noun
accompany,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,verb
accomplish,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,verb
accomplishment,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment,noun
accordance,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accordance,noun
according to,a2,https://www.oxfordlearnersdictionaries.com/definition/english/according-to,preposition
accordingly,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accordingly,adverb
account,b1,https://www.oxfordlearnersdictionaries.com/definition/english/account_1,noun
account,b2,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,verb
accountability,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accountability,noun
accountable,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accountable,adjective
